epoch,loss,validation_loss
0.0,0.009725724346935749,0.001557428389787674
1.0,0.0007939648348838091,0.0005955984815955162
2.0,0.0005194828845560551,0.0003613225417211652
3.0,0.00034645257983356714,0.0004512110317591578
4.0,0.0002984591410495341,0.000326940935337916
5.0,0.00022704768343828619,0.000206393378903158
6.0,0.0002495035878382623,0.00014562690921593457
7.0,0.00014399646897800267,0.00023490609601140022
8.0,0.00013355864211916924,0.0001952006423380226
9.0,0.00012542367039714009,0.00014328930410556495
10.0,0.00011261476902291179,0.00012544145283754915
11.0,0.00010507815022720024,0.00011279107275186107
12.0,9.867898188531399e-05,9.781038534129038e-05
13.0,9.387978207087144e-05,7.908787665655836e-05
14.0,8.964566950453445e-05,7.336967246374115e-05
15.0,8.40893408167176e-05,6.565173680428416e-05
16.0,7.876346353441477e-05,5.440939639811404e-05
17.0,7.465953967766836e-05,4.607012670021504e-05
18.0,7.100844231899828e-05,4.160622847848572e-05
19.0,6.846296309959143e-05,4.563265974866226e-05
20.0,6.591399142052978e-05,6.0832990129711106e-05
21.0,6.219186616363004e-05,3.815340460278094e-05
22.0,5.624452023766935e-05,4.437527968548238e-05
23.0,5.4676234867656603e-05,6.125534855527803e-05
24.0,4.938941856380552e-05,3.128919706796296e-05
25.0,4.894845187664032e-05,3.1956722523318604e-05
26.0,4.746441845782101e-05,3.118290987913497e-05
27.0,4.7682533477200195e-05,4.635484947357327e-05
28.0,4.360053935670294e-05,3.0228884497773834e-05
29.0,4.257108230376616e-05,2.622623105708044e-05
30.0,4.0326336602447554e-05,1.8729437215370126e-05
31.0,3.872477827826515e-05,1.4513258975057397e-05
32.0,3.6216039006831124e-05,9.061248420039192e-06
33.0,3.276493225712329e-05,1.033309399645077e-05
34.0,3.2642990845488384e-05,1.0953639502986334e-05
35.0,3.1004896300146356e-05,1.1650650776573457e-05
36.0,2.9617471227538772e-05,1.233339571626857e-05
37.0,2.840573688445147e-05,1.2966048416274134e-05
38.0,2.763875454547815e-05,1.4010029190103523e-05
39.0,2.622865213197656e-05,1.4000465853314381e-05
40.0,2.4924869649112225e-05,1.545604391139932e-05
41.0,2.372648668824695e-05,1.6031714039854705e-05
42.0,2.3198426788439974e-05,1.5346549844252877e-05
43.0,2.2418169464799576e-05,1.8135609934688546e-05
44.0,2.1897114493185654e-05,1.725423317111563e-05
45.0,2.1096069758641534e-05,1.7915450371219777e-05
46.0,2.0487059373408556e-05,1.7230642697541043e-05
47.0,1.9898991013178602e-05,1.6390771634178236e-05
48.0,1.9351298760739155e-05,1.539836921438109e-05
49.0,1.8828237443813123e-05,1.4492944501398597e-05
50.0,1.8330531020183116e-05,1.3761595255346037e-05
51.0,1.7859738363767974e-05,1.3265321285871323e-05
52.0,1.7410555301466957e-05,1.3031609341851436e-05
53.0,1.696748768154066e-05,1.292777233175002e-05
54.0,1.651728234719485e-05,1.2918501852254849e-05
55.0,1.608688398846425e-05,1.2953111763636116e-05
56.0,1.568317020428367e-05,1.3016311640967615e-05
57.0,1.5301713574444875e-05,1.3010071597818751e-05
58.0,1.4942109373805579e-05,1.2927682291774545e-05
59.0,1.4605326214223169e-05,1.2696034900727682e-05
60.0,1.428959149052389e-05,1.2258919014129788e-05
61.0,1.3988833416078705e-05,1.1627237654465716e-05
62.0,1.3695064808416646e-05,1.0873272913158871e-05
63.0,1.3406274774752092e-05,1.0073785233544186e-05
64.0,1.312513995799236e-05,9.247721209248994e-06
65.0,1.2843475815316197e-05,8.506686754117254e-06
