epoch,loss,validation_loss
0.0,0.018491286784410477,0.0010811882093548775
1.0,0.0009038232383318245,0.0009355756919831038
2.0,0.0005210838280618191,0.000605537963565439
3.0,0.0003290440945420414,0.0004641662526410073
4.0,0.00025244071730412543,0.0001745464833220467
5.0,0.00020159674750175327,0.00021781772375106812
6.0,0.00017910526366904378,0.00031686670263297856
7.0,0.0001566916034789756,0.00029786647064611316
8.0,0.00014586522593162954,0.00020904792472720146
9.0,0.000126065278891474,0.00017621209553908557
10.0,0.00011377107148291543,0.0001496019831392914
11.0,0.00010393260163255036,0.0001219739206135273
12.0,9.604463411960751e-05,9.796966332942247e-05
13.0,8.766660175751895e-05,9.149463585345075e-05
14.0,7.995850319275633e-05,0.00010479961201781407
15.0,7.434492727043107e-05,0.00011880814417963848
16.0,7.000783080002293e-05,0.00012303651601541787
17.0,6.589457916561514e-05,0.00011725332296919078
18.0,6.184032827150077e-05,0.00010602995462249964
19.0,5.7874462072504684e-05,9.260925435228273e-05
20.0,5.4038748203311116e-05,7.99766494310461e-05
21.0,5.0371996621834114e-05,7.014284346951172e-05
22.0,4.6991473936941475e-05,6.258766370592639e-05
23.0,4.42696655227337e-05,5.585596227319911e-05
24.0,4.240380076225847e-05,5.057111047790386e-05
25.0,4.1119237721432e-05,4.491258005145937e-05
26.0,3.951811959268525e-05,3.90514251193963e-05
27.0,3.7768219044664875e-05,3.685933188535273e-05
28.0,3.618132905103266e-05,3.6628796806326136e-05
29.0,3.479029692243785e-05,3.6768698919331655e-05
30.0,3.348520476720296e-05,3.732306504389271e-05
31.0,3.2204050512518734e-05,3.8218393456190825e-05
32.0,3.092722545261495e-05,3.9126960473367944e-05
33.0,2.9651082513737492e-05,3.9979422581382096e-05
34.0,2.844260961865075e-05,4.007824099971913e-05
35.0,2.75178681476973e-05,3.662977906060405e-05
36.0,2.6483385227038525e-05,3.418513006181456e-05
37.0,2.5580051442375407e-05,3.3228025131393224e-05
38.0,2.4687949917279184e-05,3.328502498334274e-05
39.0,2.3783755750628188e-05,3.241156446165405e-05
40.0,2.2878853997099213e-05,3.0478526241495274e-05
41.0,2.1997144358465448e-05,2.792079067148734e-05
42.0,2.1158537492738105e-05,2.5219444069080055e-05
43.0,2.036384103121236e-05,2.2680318579659797e-05
44.0,1.9598601284087636e-05,2.0307896193116903e-05
45.0,1.8857745089917444e-05,1.8092559912474826e-05
46.0,1.8146745787817053e-05,1.6104670066852123e-05
47.0,1.7476877474109642e-05,1.454396260669455e-05
48.0,1.685608185653109e-05,1.3485328054230195e-05
49.0,1.628372228879016e-05,1.2844308002968319e-05
